DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-03,7.3,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-04,7.3,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-05,6.5,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-06,5.8,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-07,5.6,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-08,5.6,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-09,4.6,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-10,5.5,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-11,4.9,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2021-12,4.7,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2022-01,5.3,,
ESTAT:UNE_RT_M(1.0),06/06/25 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2022-02,5.7,,
